course_id,title,platform,provider,level,duration,rating,skills,price
484,Google Cloud Fundamentals: Core Infrastructure,Coursera,Google Cloud,Beginner,150.0,4.7,"['"" Cloud Infrastructure""', '{"" Cloud Applications""', '"" Cloud Management""', '"" Cloud Storage""', '"" Other Cloud Platforms and Tools""', '"" Kubernetes""}', '"" Cloud-Based Integration""', '"" Google Cloud Platform""', '"" Cloud Computing""', '"" Cloud Platforms""', '"" Google App Engine""', '"" Cloud Engineering""']",0.0
485,Optical Engineering,Coursera,University of Colorado Boulder,Advanced,450.0,4.4,"['"" Algorithms""}', '{"" Systems Design""']",0.0
486,Value Chain Management,Coursera,University of Illinois at Urbana-Champaign,Intermediate,450.0,4.7,"['"" Sales""', '"" Communication""', '"" Market Analysis""', '"" Financial Analysis""', '"" Planning""', '"" Management Accounting""', '"" Budget Management""', '"" Media Strategy & Planning""', '"" Financial Management""', '"" Marketing""', '"" Brand Management""', '"" Account Management""', '"" General Accounting""', '"" Financial Accounting""', '"" Business Research""', '"" Cost Accounting""', '"" Market Research""', '"" Decision Making""', '"" Marketing Management""', '"" Strategy""', '"" Accounting""', '"" Probability & Statistics""', '"" Operations Management""}', '{"" Leadership and Management""', '"" Probability Distribution""', '"" Supply Chain and Logistics""']",0.0
487,Introductory Human Physiology,Coursera,Duke University,Beginner,150.0,4.8,"['{"" Health""}']",0.0
488,Become an EMT,Coursera,University of Colorado System,Beginner,450.0,4.8,"['{"" Leadership and Management""', '"" Communication""}']",0.0
489,Customer Service Fundamentals,Coursera,Knowledge Accelerators,Beginner,35.0,4.8,"['"" User Experience""}', '{"" Communication""', '"" Adaptability""', '"" Problem Solving""', '"" Strategy""', '"" Customer Relationship Management""', '"" Critical Thinking""', '"" Leadership and Management""', '"" Customer Success""', '"" Customer Support""']",0.0
490,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Coursera,Erasmus University Rotterdam,Advanced,150.0,4.6,"['"" Marketing""', '"" Mergers & Acquisitions""', '"" Game Theory""}', '"" Strategy""', '"" Financial Analysis""', '"" Business Analysis""', '"" Accounting""', '"" Strategy and Operations""', '"" Data Analysis""', '{"" Finance""', '"" Entrepreneurship""', '"" Investment Management""']",0.0
491,Instructional Methods in Health Professions Education,Coursera,University of Michigan,Intermediate,150.0,4.7,"['{""(441 reviews)""}']",0.0
492,Gamification,Coursera,University of Pennsylvania,All Levels,150.0,4.8,"['"" User Experience Design""', '"" Strategy""', '"" Problem Solving""', '"" Critical Thinking""', '"" User Experience""', '"" Business Psychology""', '"" Research and Design""}', '"" Human Learning""', '"" Behavioral Economics""', '{"" Game Theory""']",0.0
493,Music Education for Teachers,Coursera,Berklee,Intermediate,450.0,4.8,"['{"" Writing""}']",0.0
494,Child Nutrition and Cooking,Coursera,Stanford University,Beginner,150.0,4.8,"['{""(9.9k reviews)""}']",0.0
495,Medical Terminology,Coursera,Rice University,Beginner,450.0,4.9,"['"" Communication""}', '{"" Human Learning""']",0.0
496,Fundamentals of Flight mechanics,Coursera,ISAE-SUPAERO,Beginner,450.0,4.7,"['{"" Mathematical Theory & Analysis""}']",0.0
497,Using Public Policy for Social Change,Coursera,University of Michigan,Beginner,35.0,5.0,"['{"" Problem Solving""}']",0.0
498,Blockchain Revolution,Coursera,INSEAD,Beginner,450.0,4.7,"['"" Network Security""', '"" System Security""', '"" Research and Design""', '"" Entrepreneurship""', '"" Leadership and Management""', '"" Innovation""', '"" Cryptography""', '"" Distributed Computing Architecture""', '"" Finance""', '"" Recruitment""}', '"" Network Model""', '"" Strategy""', '"" Regulations and Compliance""', '"" Internet Of Things""', '"" Human Resources""', '{"" BlockChain""', '"" Strategy and Operations""', '"" Contract Management""', '"" Software Security""', '"" FinTech""']",0.0
499,Autodesk CAD/CAM/CAE for Mechanical Engineering,Coursera,Autodesk,Intermediate,450.0,4.8,"['{""(4.8k reviews)""}']",0.0
500,TensorFlow: Data and Deployment,Coursera,DeepLearning.AI,Intermediate,450.0,4.6,"['"" Javascript""', '"" Computer Vision""', '{"" Machine Learning""', '"" Web Development""', '"" Machine Learning Software""', '"" iOS Development""}', '"" Load""', '"" Data Model""', '"" Mobile Development Tools""', '"" Network Model""', '"" Human Learning""', '"" Tensorflow""', '"" Deep Learning""', '"" Computer Programming""', '"" Machine Learning Algorithms""', '"" Extract""', '"" Applied Machine Learning""', '"" Python Programming""', '"" Artificial Neural Networks""', '"" Transform""', '"" Mobile Development""']",0.0
501,Exploratory Data Analysis for Machine Learning,Coursera,IBM,Intermediate,150.0,4.6,"['"" Machine Learning""', '"" Probability & Statistics""', '"" Statistical Machine Learning""', '"" General Statistics""', '"" Data Structures""}', '"" Feature Engineering""', '"" Algorithms""', '"" Exploratory Data Analysis""', '{"" Data Analysis""', '"" Statistical Analysis""']",0.0
502,Programming in C++: A Hands-on Introduction,Coursera,Codio,Beginner,450.0,4.6,"['{"" Computer Programming""', '"" Computer Science""', '"" Problem Solving""}']",0.0
